date,total_value,cash,positions_value
2025-03-10 19:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-10 23:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-11 03:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-11 07:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-11 11:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-11 15:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-11 19:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-11 23:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-12 03:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-12 07:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-12 11:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-12 15:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-12 19:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-12 23:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-13 03:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-13 07:00:00,98777.08642811209,98777.08642811209,0.0
2025-03-13 11:00:00,98757.33101082647,79001.91372520405,19755.417285622418
2025-03-13 15:00:00,98715.50702465649,79001.91372520405,19713.593299452434
2025-03-13 19:00:00,98260.90881134293,79001.91372520405,19258.99508613888
2025-03-13 23:00:00,98043.23397423094,79001.91372520405,19041.32024902689
2025-03-14 03:00:00,98269.22608131991,79001.91372520405,19267.312356115857
2025-03-14 07:00:00,98458.85983679519,79001.91372520405,19456.94611159114
2025-03-14 11:00:00,98530.86363116739,79001.91372520405,19528.949905963338
2025-03-14 15:00:00,98784.65918360799,79001.91372520405,19782.745458403937
2025-03-14 19:00:00,99135.41034035175,79001.91372520405,20133.4966151477
2025-03-14 23:00:00,99096.20035331738,79001.91372520405,20094.286628113332
2025-03-15 03:00:00,98957.42076284425,79001.91372520405,19955.5070376402
2025-03-15 07:00:00,99081.22926735881,79001.91372520405,20079.315542154756
2025-03-15 11:00:00,98926.29040950182,79001.91372520405,19924.376684297764
2025-03-15 15:00:00,98989.73929761196,79001.91372520405,19987.825572407906
2025-03-15 19:00:00,99045.10855203019,79001.91372520405,20043.194826826133
2025-03-15 23:00:00,99035.1278280578,79001.91372520405,20033.214102853744
2025-03-16 03:00:00,99045.82146088536,79001.91372520405,20043.907735681307
2025-03-16 07:00:00,99040.118190044,79001.91372520405,20038.204464839946
2025-03-16 11:00:00,99025.38474037047,79001.91372520405,20023.47101516642
2025-03-16 15:00:00,98584.33179530516,79001.91372520405,19582.418070101106
2025-03-16 19:00:00,98802.48190498725,79001.91372520405,19800.568179783193
2025-03-16 23:00:00,98747.82555942421,79001.91372520405,19745.911834220155
2025-03-17 03:00:00,98619.97723806367,79001.91372520405,19618.06351285962
2025-03-17 07:00:00,98894.20951101916,79001.91372520405,19892.295785815106
2025-03-17 11:00:00,98859.75224968593,79001.91372520405,19857.83852448188
2025-03-17 15:00:00,98845.0188000124,79001.91372520405,19843.10507480835
2025-03-17 19:00:00,98849.77152571354,79001.91372520405,19847.85780050949
2025-03-17 23:00:00,99070.77327081631,79001.91372520405,20068.859545612257
2025-03-18 03:00:00,98977.14457450397,79001.91372520405,19975.230849299915
2025-03-18 07:00:00,98758.04391968164,79001.91372520405,19756.13019447759
2025-03-18 11:00:00,98763.747190523,79001.91372520405,19761.833465318952
2025-03-18 15:00:00,98627.58159918549,79001.91372520405,19625.667873981438
2025-03-18 19:00:00,98375.06785686649,98375.06785686649,0.0
2025-03-18 23:00:00,98375.06785686649,98375.06785686649,0.0
2025-03-19 03:00:00,98375.06785686649,98375.06785686649,0.0
2025-03-19 07:00:00,98375.06785686649,98375.06785686649,0.0
2025-03-19 11:00:00,98375.06785686649,98375.06785686649,0.0
2025-03-19 15:00:00,98375.06785686649,98375.06785686649,0.0
2025-03-19 19:00:00,98375.06785686649,98375.06785686649,0.0
2025-03-19 23:00:00,98375.06785686649,98375.06785686649,0.0
2025-03-20 03:00:00,98375.06785686649,98375.06785686649,0.0
2025-03-20 07:00:00,98355.39284329512,78680.37927192182,19675.013571373303
2025-03-20 11:00:00,98333.635034885,78680.37927192182,19653.255762963177
2025-03-20 15:00:00,98253.93274723526,78680.37927192182,19573.55347531344
2025-03-20 19:00:00,98067.5026835948,78680.37927192182,19387.123411672976
2025-03-20 23:00:00,97952.98790248885,78680.37927192182,19272.608630567032
2025-03-21 03:00:00,97955.04916854877,78680.37927192182,19274.669896626947
2025-03-21 07:00:00,98015.28394341048,78680.37927192182,19334.904671488664
2025-03-21 11:00:00,97895.50148237367,78680.37927192182,19215.122210451853
2025-03-21 15:00:00,97921.61085246582,78680.37927192182,19241.231580544
2025-03-21 19:00:00,97807.3251009221,78680.37927192182,19126.94582900028
2025-03-21 23:00:00,97902.14333967782,78680.37927192182,19221.764067755998
2025-03-22 03:00:00,97932.83330101421,78680.37927192182,19252.45402909239
2025-03-22 07:00:00,97969.93609009252,78680.37927192182,19289.556818170706
2025-03-22 11:00:00,97976.11988827225,78680.37927192182,19295.740616350435
2025-03-22 15:00:00,97966.04258753493,78680.37927192182,19285.663315613114
2025-03-22 19:00:00,97924.105671487,97924.105671487,0.0
2025-03-22 23:00:00,97924.105671487,97924.105671487,0.0
2025-03-23 03:00:00,97924.105671487,97924.105671487,0.0
2025-03-23 07:00:00,97924.105671487,97924.105671487,0.0
2025-03-23 11:00:00,97904.52085035271,78319.6997160553,19584.82113429741
2025-03-23 15:00:00,97992.60048783489,78319.6997160553,19672.90077177959
2025-03-23 19:00:00,98093.42262273963,98093.42262273963,0.0
2025-03-23 23:00:00,98093.42262273963,98093.42262273963,0.0
2025-03-24 03:00:00,98073.80393821507,78455.11941366715,19618.68452454792
2025-03-24 07:00:00,98180.23400272142,78455.11941366715,19725.11458905427
2025-03-24 11:00:00,98255.66944458781,78455.11941366715,19800.550030920655
2025-03-24 15:00:00,98441.86508206464,78455.11941366715,19986.74566839749
2025-03-24 19:00:00,98589.31744124151,78455.11941366715,20134.198027574355
2025-03-24 23:00:00,98572.9085233733,78455.11941366715,20117.78910970615
2025-03-25 03:00:00,98399.24747593468,78455.11941366715,19944.128062267526
2025-03-25 07:00:00,98175.22016670613,78455.11941366715,19720.100753038976
2025-03-25 11:00:00,98155.16482264499,78455.11941366715,19700.045408977836
2025-03-25 15:00:00,98368.70865656884,78455.11941366715,19913.589242901682
2025-03-25 19:00:00,98468.75747523754,78455.11941366715,20013.638061570382
2025-03-25 23:00:00,98542.1418023704,78455.11941366715,20087.022388703248
2025-03-26 03:00:00,98381.92695151824,78455.11941366715,19926.807537851084
2025-03-26 07:00:00,98321.07721442361,78455.11941366715,19865.957800756456
2025-03-26 11:00:00,98546.24403183744,78455.11941366715,20091.124618170288
2025-03-26 15:00:00,98508.64026172279,78455.11941366715,20053.520848055632
2025-03-26 19:00:00,98230.3723628743,78455.11941366715,19775.252949207148
2025-03-26 23:00:00,98188.43846165553,78455.11941366715,19733.319047988378
2025-03-27 03:00:00,98262.73439533662,78455.11941366715,19807.614981669467
2025-03-27 07:00:00,98439.13026241993,78455.11941366715,19984.010848752776
2025-03-27 11:00:00,98379.4200335106,78455.11941366715,19924.300619843445
2025-03-27 15:00:00,98272.98996900425,78455.11941366715,19817.870555337096
2025-03-27 19:00:00,98272.98996900425,78455.11941366715,19817.870555337096
2025-03-27 23:00:00,98288.71518196129,78455.11941366715,19833.595768294137
2025-03-28 03:00:00,98332.47229627654,78455.11941366715,19877.352882609383
2025-03-28 07:00:00,98234.2466907043,78455.11941366715,19779.127277037143
